File,Anger,Fear,Happy,Neutral,Shape
sub001_HaririTask_Ver1_2025_May_06_0923trials.csv,1.05,0.9774,1.0706,1.1003,0.8226
sub001_HaririTask_Ver2_2025_May_07_0938trials.csv,0.7106,0.8078,0.7843,0.7884,0.6518
sub002_HaririTask_Ver1_2025_May_09_0904trials.csv,0.7462,0.6704,0.716,0.6576,0.6555
sub002_HaririTask_Ver2_2025_May_08_0942trials.csv,0.7556,0.8312,0.7279,0.7817,0.7743
sub003_HaririTask_Ver1_2025_May_13_0912trials.csv,1.0905,1.0158,1.042,1.0779,1.1635
sub003_HaririTask_Ver2_2025_May_14_0832trials.csv,1.312,1.4002,1.3345,1.2463,1.2335
sub004_HaririTask_Ver1_2025_May_16_0903trials.csv,0.663,0.677,0.7456,0.6645,0.6026
sub004_HaririTask_Ver2_2025_May_15_0857trials.csv,0.7611,1.0392,0.8392,0.8505,0.795
sub005_HaririTask_Ver1_2025_May_20_0854trials.csv,0.8712,0.946,1.0443,0.9266,0.7628
sub005_HaririTask_Ver2_2025_May_21_0900trials.csv,0.7101,0.8642,0.7984,0.8021,0.7275
sub006_HaririTask_Ver1_2025_May_23_0903trials.csv,1.209,1.1411,1.212,1.189,0.9658
sub006_HaririTask_Ver2_2025_May_22_0846trials.csv,1.3341,1.6195,1.4339,1.4656,1.1245
sub007_HaririTask_Ver1_2025_May_27_0920trials.csv,0.8856,0.9088,0.9164,0.9653,0.809
sub007_HaririTask_Ver2_2025_May_28_0907trials.csv,0.7301,0.8147,0.8462,0.7662,0.6501
sub008_HaririTask_Ver1_2025_May_30_0858trials.csv,1.8198,1.9722,1.7673,2.0451,1.5694
sub008_HaririTask_Ver2_2025_May_29_0918trials.csv,0.9928,1.1217,0.9749,1.0151,0.8891
sub009_HaririTask_Ver1_2025_Jun_03_0905trials.csv,0.8853,0.8408,0.9033,0.8963,0.8261
sub009_HaririTask_Ver2_2025_Jun_04_0856trials.csv,0.8553,0.8804,0.8694,0.8457,0.8362
sub010_HaririTask_Ver1_2025_Jun_06_0902trials.csv,0.6115,0.6264,0.6581,0.6327,0.6408
sub010_HaririTask_Ver2_2025_Jun_05_0914trials.csv,0.7307,0.8042,0.8437,0.7731,0.7427
sub011_HaririTask_Ver1_2025_Jun_10_0851trials.csv,0.8066,0.8195,0.691,0.7681,0.833
sub011_HaririTask_Ver2_2025_Jun_11_0858trials.csv,0.7329,0.9044,0.7951,0.8468,0.7526
sub012_HaririTask_Ver1_2025_Jun_13_0856trials.csv,0.7607,0.7721,0.8491,0.842,0.7161
sub012_HaririTask_Ver2_2025_Jun_12_0910trials.csv,0.6579,0.7825,0.7164,0.7422,0.6833
sub013_HaririTask_Ver1_2025_Jun_17_0858trials.csv,0.9305,0.7218,0.7485,0.764,0.8114
sub013_HaririTask_Ver2_2025_Jun_18_0906trials.csv,0.6287,0.638,0.6525,0.6157,0.6809
sub014_HaririTask_Ver1_2025_Jun_20_0923trials.csv,0.8787,0.8585,0.9886,0.9568,0.7866
sub014_HaririTask_Ver2_2025_Jun_19_0856trials.csv,0.8767,0.8963,1.0694,0.939,0.8822
sub015_HaririTask_Ver1_2025_Jun_24_0910trials.csv,0.8432,0.8311,0.8762,0.876,0.6583
sub015_HaririTask_Ver2_2025_Jun_25_0908trials.csv,0.7461,0.8997,0.8315,0.8703,0.6783
sub016_HaririTask_Ver1_2025_Jun_27_0919trials.csv,0.8047,0.8962,0.9756,0.7989,0.8551
sub016_HaririTask_Ver2_2025_Jun_26_0917trials.csv,0.9882,1.0001,0.916,0.8537,0.7127
sub017_HaririTask_Ver1_2025_Jul_08_0752trials.csv,0.7953,0.6952,0.7096,0.685,0.7328
sub017_HaririTask_Ver2_2025_Jul_09_0806trials.csv,0.7234,0.6907,0.6839,0.6524,0.6539
sub018_HaririTask_Ver1_2025_Jul_11_0804trials.csv,0.7818,0.7115,0.7739,0.6243,0.7272
sub019_HaririTask_Ver1_2025_Jul_15_0913trials.csv,0.6855,0.6907,0.6985,0.6629,0.6488
sub019_HaririTask_Ver2_2025_Jul_16_0914trials.csv,0.8838,0.7851,0.9394,0.6887,0.7019
sub020_HaririTask_Ver1_2025_Jul_18_0905trials.csv,0.6462,0.6645,0.6967,0.6885,0.6141
sub020_HaririTask_Ver2_2025_Jul_17_0920trials.csv,0.6918,0.7475,0.6877,0.6796,0.7057
sub021_HaririTask_Ver1_2025_Jul_22_0914trials.csv,1.2704,1.3722,1.3339,1.3235,1.2049
sub021_HaririTask_Ver2_2025_Jul_23_0912trials.csv,0.9774,0.9831,1.011,1.0411,0.8627
sub022_HaririTask_Ver1_2025_Jul_25_0901trials.csv,0.8911,0.8969,0.8589,0.8678,0.7961
sub022_HaririTask_Ver2_2025_Jul_24_0910trials.csv,0.8327,1.0508,0.9061,0.973,0.9159
sub023_HaririTask_Ver1_2025_Jul_29_0917trials.csv,1.2541,1.0614,1.0754,1.0903,1.0883
sub023_HaririTask_Ver2_2025_Jul_30_0905trials.csv,1.2093,1.0705,0.9901,0.995,0.9442
sub024_HaririTask_Ver1_2025_Aug_01_0909trials.csv,0.775,0.6623,0.6965,0.6996,0.675
sub024_HaririTask_Ver2_2025_Jul_31_0915trials.csv,0.8333,0.9568,0.8199,0.8227,0.7913
sub025_HaririTask_Ver1_2025_Aug_05_0859trials.csv,1.1637,1.2197,1.1533,1.1134,0.9059
sub025_HaririTask_Ver2_2025_Aug_06_0913trials.csv,1.0172,1.1778,1.0506,1.0412,0.869
sub026_HaririTask_Ver1_2025_Aug_08_0921trials.csv,1.0136,0.8278,0.8083,0.8889,0.8841
sub026_HaririTask_Ver2_2025_Aug_07_0917trials.csv,0.9304,0.9767,1.1332,1.0033,0.9713
sub027_HaririTask_Ver1_2025_Aug_12_0901trials.csv,0.7205,0.7848,0.8401,0.7317,0.7247
sub027_HaririTask_Ver2_2025_Aug_13_0853trials.csv,0.7751,0.6892,0.7568,0.6696,0.7509
sub028_HaririTask_Ver1_2025_Aug_15_0907trials.csv,0.7475,0.6527,0.7363,0.7081,0.7444
sub028_HaririTask_Ver2_2025_Aug_14_0902trials.csv,0.8026,1.0151,0.8663,0.8819,0.8526